sample_id,sampling_age,aboveground_veg_biomass,voxel_vol_02,voxel_vol_01,voxel_vol_005,voxel_vol_002,voxel_vol_001,convh_vol,predicted_aboveground_veg_biomass,error_aboveground_veg_biomass,abs_error_aboveground_veg_biomass,perc_error_aboveground_veg_biomass,relative_residuals_aboveground_veg_biomass,parameter,species,leaf_biomass,predicted_leaf_biomass,error_leaf_biomass,abs_error_leaf_biomass,perc_error_leaf_biomass,relative_residuals_leaf_biomass,leaf_no,predicted_leaf_no,error_leaf_no,abs_error_leaf_no,perc_error_leaf_no,relative_residuals_leaf_no,shoot_biomass,predicted_shoot_biomass,error_shoot_biomass,abs_error_shoot_biomass,perc_error_shoot_biomass,relative_residuals_shoot_biomass,shoot_no,predicted_shoot_no,error_shoot_no,abs_error_shoot_no,perc_error_shoot_no,relative_residuals_shoot_no
gp_11_09_14_2023,15,,0.379336,0.129834,0.022094375,0.00159784,0.000208477,2.683866213860796,,,,,,leaf_no,watermelon,,,,,,,1142.0,1106.0230251361631,35.97697486383686,35.97697486383686,3.150348061631949,3.150348061631949,,,,,,,,,,,,
ta_Sugar_Baby_Day_Zero,0,,0.003008,0.001381,0.0006145,0.000191568,4.6637e-05,0.0066688144484401,,,,,,leaf_no,watermelon,,,,,,,21.0,11.214756584978469,9.785243415021531,9.785243415021531,46.59639721438825,46.59639721438824,,,,,,,,,,,,
gp_22_07_07_2023,2,,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,,,,,,leaf_no,watermelon,,,,,,,43.0,62.175751810257566,-19.175751810257566,19.175751810257566,44.59477165176178,-44.59477165176178,,,,,,,,,,,,
gp_14_08_02_2023,9,,0.243432,0.091349,0.026932,0.002689344,0.000352561,2.1348638390091224,,,,,,leaf_no,watermelon,,,,,,,894.0,1010.7128698001928,-116.71286980019283,116.71286980019283,13.055130850133425,-13.055130850133427,,,,,,,,,,,,
gp_10_09_14_2023,15,,0.209352,0.081154,0.016929,0.001277632,0.000168238,1.310880798715461,,,,,,leaf_no,watermelon,,,,,,,834.0,816.3306676330362,17.669332366963772,17.669332366963772,2.118624984048414,2.118624984048414,,,,,,,,,,,,
gp_24_07_07_2023,2,,0.01352,0.005616,0.002297,0.000602688,0.000131728,0.0390881281425677,,,,,,shoot_biomass,watermelon,,,,,,,,,,,,,3.55,12.549303248560001,-8.99930324856,8.99930324856,253.50149995943661,-253.50149995943664,,,,,,
gp_15_06_24_2023,4,,0.006944,0.0028,0.00123975,0.000346176,8.254e-05,0.0228593315602132,,,,,,shoot_biomass,watermelon,,,,,,,,,,,,,2.78,6.445440958432,-3.6654409584320002,3.6654409584320002,131.85039418820145,-131.85039418820145,,,,,,
gp_13_08_02_2023,9,,0.25244,0.117191,0.042914125,0.005014024,0.000670452,1.1254362542637792,,,,,,shoot_biomass,watermelon,,,,,,,,,,,,,179.79,234.31554083332,-54.52554083332001,54.52554083332001,30.327349036831862,-30.327349036831865,,,,,,
gp_11_09_14_2023,15,,0.379336,0.129834,0.022094375,0.00159784,0.000208477,2.683866213860796,,,,,,shoot_biomass,watermelon,,,,,,,,,,,,,370.65,352.100776412408,18.549223587591996,18.549223587591996,5.004511962118439,5.00451196211844,,,,,,
ta_Sugar_Baby_Day_Zero,0,,0.003008,0.001381,0.0006145,0.000191568,4.6637e-05,0.0066688144484401,,,,,,shoot_biomass,watermelon,,,,,,,,,,,,,1.35,2.792034332224,-1.442034332224,1.442034332224,106.8173579425185,-106.8173579425185,,,,,,
